cleaned_question,cleaned_answer
how much be the nivea body lotion,nivea body lotion price start at around kes 380
be sanitary pad on discount,yes brand like always softcare and kotex be frequently discount
what deodorant be available,we have deodorant from nivea axe dove and rexona
do you stock baby wipe,yes baby wipe from huggie softcare and pamper be available
can I find gillette razor,yes gillette razor and shaving kit be in stock
how much be colgate toothpaste,colgate toothpaste range from kes 100 to kes 300 depend on size
be there baby oil in stock,yes baby oil from johnson ’s and other brand be stock
do you sell adult diaper,yes adult diaper be available in various size
be all shampoo parabenfree,we have both parabenfree and regular shampoo label be clearly marked
do you bake fresh bread daily,yes our instore bakery prepare fresh bread every morning
how much be a croissant,croissant be price around kes 70 each
be your cake make inhouse,yes most cake be prepare fresh inhouse by our bakery team
do you have glutenfree option,yes we offer glutenfree option on select product
can I preorder a birthday cake,yes you can preorder birthday cake with 24hour notice
do you sell muffin,yes muffin be available in chocolate vanilla and blueberry flavor
what be the price of donut,donut be sell in pack and individually from kes 60 each
be brown bread available,yes brown bread be stock fresh every day
do you sell pizza slice,yes we sell readytoeat pizza slice in the hot food section
be there discount on pastry,pastry be regularly discount especially in the evening
can I return a product without a receipt,return without a receipt be not allow unless approve by management
how do I redeem loyalty point,loyalty point can be redeem use your myclub card at checkout
do you have a complaint desk,yes our customer service desk be available near the entrance
how long do a refund take,refund typically take 3 to 5 business day after approval
can I change the phone number on my account,visit the customer desk to update your account detail include phone number
do you have a lost and find,yes we keep lose item for up to 30 day at customer service
can I get a vat receipt,yes you can request a vat receipt at checkout or from customer service
be there a manager on duty,yes a floor supervisor or manager be always on duty during business hour
how do I join the loyalty program,you can join the loyalty program by register at the kiosk or online
what be your operating hour,most carrefour store operate from 800 am to 1000 pm daily
do you deliver to ruaka,yes we deliver to ruaka through glovo and jumia food
which app should I use to shop online,you can use the glovo or carrefour app to shop online
be there a delivery fee,delivery fee vary by location but start at kes 100
what be the estimate delivery time,delivery within nairobi usually take 1 to 2 hour
can I schedule a delivery,yes delivery can be schedule during checkout in the app
do you accept mpesa online,yes mpesa be accept for all online purchase
be there online exclusive offer,yes some discount be exclusive to the online platform
what happen if a product be miss,if a product be miss report immediately via the app or call support
can I track my order,yes use the tracking link send via sms or email
how do I cancel an online order,you can cancel an order before dispatch via the app or customer care
do you accept mpesa,yes mpesa be accept at all carrefour branch
can I pay use my debit card,yes we accept visa mastercard and most debit card
do you give change for large note,yes we offer change for large denomination at the cashier
be gift card accept,yes carrefour gift card and voucher be accept
can I split the bill between cash and card,yes you can pay partly in cash and partly by card
do you have a cashback option,no we do not offer cashback on card purchase
be payment by airtel money allow,currently airtel money be not support in all branch
can I use carrefour gift voucher,yes we accept carrefour gift voucher in physical store
be taptopay available,yes most of our terminal support contactless payment
what if my card be decline,if your card be decline try again or use an alternative method
what be today promotion,todays promotion be list on our website and instore display
do you have buyonegetonefree offer,yes we often have buyonegetonefree deal on select item
be there discount on electronic,yes we run electronic promotion every month
be there a clearance sale,clearance sale be hold quarterly or during major holiday
do loyalty member get extra discount,loyalty member get exclusive access to select offer
how do I know what ’ on promotion,promotion be list on our app website and flyer
be there backtoschool offer,yes there be seasonal backtoschool discount
be there a weekend sale,yes we have weekend mega sale with up to 50 off
do you run flash sale,flash sale be announce via sms and social medium
how long do promotion last,most promotion run for 3 to 7 day depend on the item
do you sell halal meat,yes all our meat be certify halal
how much be a kilo of beef,beef cost around kes 600 per kilo depend on the cut
do you have chicken sausage,yes chicken sausage be available in various brand
be goat meat available daily,yes goat meat be available daily fresh or frozen
can I request a specific meat cut,yes you can request custom cut at the meat counter
do you have cold cut like ham,yes we have cold cut like ham salami and bologna
be your meat frozen or fresh,we stock both fresh and frozen meat depend on the type
do you sell turkey,yes turkey be available especially during holiday season
how be the meat package,meat be package in hygienic seal container by weight
do you take bulk order,yes we take bulk meat order for event and function
