question,answer,cleaned_question,cleaned_answer
Do you sell pizza slices?,"Yes, we sell ready-to-eat pizza slices in the hot food section.",do you sell pizza slice,yes we sell readytoeat pizza slice in the hot food section
Are there discounts on pastries?,"Pastries are regularly discounted, especially in the evening.",be there discount on pastry,pastry be regularly discount especially in the evening
Can I return a product without a receipt?,"Returns without a receipt are not allowed, unless approved by management.",can I return a product without a receipt,return without a receipt be not allow unless approve by management
How do I redeem loyalty points?,Loyalty points can be redeemed using your MyCLUB card at checkout.,how do I redeem loyalty point,loyalty point can be redeem use your myclub card at checkout
Do you have a complaints desk?,"Yes, our customer service desk is available near the entrance.",do you have a complaint desk,yes our customer service desk be available near the entrance
How long does a refund take?,Refunds typically take 3 to 5 business days after approval.,how long do a refund take,refund typically take 3 to 5 business day after approval
Can I change the phone number on my account?,"Visit the customer desk to update your account details, including phone number.",can I change the phone number on my account,visit the customer desk to update your account detail include phone number
Do you have a lost and found?,"Yes, we keep lost items for up to 30 days at customer service.",do you have a lost and find,yes we keep lose item for up to 30 day at customer service
Can I get a VAT receipt?,"Yes, you can request a VAT receipt at checkout or from customer service.",can I get a vat receipt,yes you can request a vat receipt at checkout or from customer service
Is there a manager on duty?,"Yes, a floor supervisor or manager is always on duty during business hours.",be there a manager on duty,yes a floor supervisor or manager be always on duty during business hour
How do I join the loyalty program?,You can join the loyalty program by registering at the kiosk or online.,how do I join the loyalty program,you can join the loyalty program by register at the kiosk or online
What are your operating hours?,Most Carrefour stores operate from 8:00 AM to 10:00 PM daily.,what be your operating hour,most carrefour store operate from 800 am to 1000 pm daily
Do you deliver to Ruaka?,"Yes, we deliver to Ruaka through Glovo and Jumia Food.",do you deliver to ruaka,yes we deliver to ruaka through glovo and jumia food
Which app should I use to shop online?,You can use the Glovo or Carrefour app to shop online.,which app should I use to shop online,you can use the glovo or carrefour app to shop online
Is there a delivery fee?,Delivery fees vary by location but start at KES 100.,be there a delivery fee,delivery fee vary by location but start at kes 100
What is the estimated delivery time?,Delivery within Nairobi usually takes 1 to 2 hours.,what be the estimate delivery time,delivery within nairobi usually take 1 to 2 hour
Can I schedule a delivery?,"Yes, delivery can be scheduled during checkout in the app.",can I schedule a delivery,yes delivery can be schedule during checkout in the app
Do you accept M-PESA online?,"Yes, M-PESA is accepted for all online purchases.",do you accept mpesa online,yes mpesa be accept for all online purchase
Are there online exclusive offers?,"Yes, some discounts are exclusive to the online platform.",be there online exclusive offer,yes some discount be exclusive to the online platform
What happens if a product is missing?,"If a product is missing, report immediately via the app or call support.",what happen if a product be miss,if a product be miss report immediately via the app or call support
Can I track my order?,"Yes, use the tracking link sent via SMS or email.",can I track my order,yes use the tracking link send via sms or email
How do I cancel an online order?,You can cancel an order before dispatch via the app or customer care.,how do I cancel an online order,you can cancel an order before dispatch via the app or customer care
Do you accept M-PESA?,"Yes, M-PESA is accepted at all Carrefour branches.",do you accept mpesa,yes mpesa be accept at all carrefour branch
Can I pay using my debit card?,"Yes, we accept Visa, MasterCard, and most debit cards.",can I pay use my debit card,yes we accept visa mastercard and most debit card
Do you give change for large notes?,"Yes, we offer change for large denominations at the cashier.",do you give change for large note,yes we offer change for large denomination at the cashier
Are gift cards accepted?,"Yes, Carrefour gift cards and vouchers are accepted.",be gift card accept,yes carrefour gift card and voucher be accept
Can I split the bill between cash and card?,"Yes, you can pay partly in cash and partly by card.",can I split the bill between cash and card,yes you can pay partly in cash and partly by card
Do you have a cashback option?,"No, we do not offer cashback on card purchases.",do you have a cashback option,no we do not offer cashback on card purchase
Is payment by Airtel Money allowed?,"Currently, Airtel Money is not supported in all branches.",be payment by airtel money allow,currently airtel money be not support in all branch
Can I use Carrefour gift vouchers?,"Yes, we accept Carrefour gift vouchers in physical stores.",can I use carrefour gift voucher,yes we accept carrefour gift voucher in physical store
Is tap-to-pay available?,"Yes, most of our terminals support contactless payments.",be taptopay available,yes most of our terminal support contactless payment
What if my card is declined?,"If your card is declined, try again or use an alternative method.",what if my card be decline,if your card be decline try again or use an alternative method
What are today's promotions?,Today's promotions are listed on our website and in-store displays.,what be today promotion,todays promotion be list on our website and instore display
Do you have buy-one-get-one-free offers?,"Yes, we often have buy-one-get-one-free deals on selected items.",do you have buyonegetonefree offer,yes we often have buyonegetonefree deal on select item
Are there discounts on electronics?,"Yes, we run electronic promotions every month.",be there discount on electronic,yes we run electronic promotion every month
Is there a clearance sale?,Clearance sales are held quarterly or during major holidays.,be there a clearance sale,clearance sale be hold quarterly or during major holiday
Do loyalty members get extra discounts?,Loyalty members get exclusive access to select offers.,do loyalty member get extra discount,loyalty member get exclusive access to select offer
How do I know what’s on promotion?,"Promotions are listed on our app, website, and flyers.",how do I know what ’ on promotion,promotion be list on our app website and flyer
Are there back-to-school offers?,"Yes, there are seasonal back-to-school discounts.",be there backtoschool offer,yes there be seasonal backtoschool discount
Is there a weekend sale?,"Yes, we have weekend mega sales with up to 50% off.",be there a weekend sale,yes we have weekend mega sale with up to 50 off
Do you run flash sales?,Flash sales are announced via SMS and social media.,do you run flash sale,flash sale be announce via sms and social medium
How long do promotions last?,Most promotions run for 3 to 7 days depending on the item.,how long do promotion last,most promotion run for 3 to 7 day depend on the item
Do you sell halal meat?,"Yes, all our meat is certified halal.",do you sell halal meat,yes all our meat be certify halal
How much is a kilo of beef?,Beef costs around KES 600 per kilo depending on the cut.,how much be a kilo of beef,beef cost around kes 600 per kilo depend on the cut
Do you have chicken sausages?,"Yes, chicken sausages are available in various brands.",do you have chicken sausage,yes chicken sausage be available in various brand
Is goat meat available daily?,"Yes, goat meat is available daily, fresh or frozen.",be goat meat available daily,yes goat meat be available daily fresh or frozen
Can I request a specific meat cut?,"Yes, you can request custom cuts at the meat counter.",can I request a specific meat cut,yes you can request custom cut at the meat counter
Do you have cold cuts like ham?,"Yes, we have cold cuts like ham, salami, and bologna.",do you have cold cut like ham,yes we have cold cut like ham salami and bologna
Are your meats frozen or fresh?,We stock both fresh and frozen meats depending on the type.,be your meat frozen or fresh,we stock both fresh and frozen meat depend on the type
Do you sell turkey?,"Yes, turkey is available especially during holiday seasons.",do you sell turkey,yes turkey be available especially during holiday season
How is the meat packaged?,"Meat is packaged in hygienic, sealed containers by weight.",how be the meat package,meat be package in hygienic seal container by weight
Do you take bulk orders?,"Yes, we take bulk meat orders for events and functions.",do you take bulk order,yes we take bulk meat order for event and function
